approach,scenario,run,failure_time,orphan_total,successful_realloc,failed_realloc,tasks_quorum_ok,tasks_quorum_fail,connectivity_index
rl1,cenario1_tempo_fixo/310s_10percent,1,320.0,17,13,4,11,2,0.7647
rl1,cenario1_tempo_fixo/310s_10percent,2,320.0,21,21,0,11,3,1.0
rl1,cenario1_tempo_fixo/310s_10percent,3,320.0,22,21,1,11,1,0.9545
rl1,cenario1_tempo_fixo/310s_10percent,4,320.0,36,35,1,8,18,0.9722
rl1,cenario1_tempo_fixo/310s_10percent,5,320.0,8,8,0,8,20,1.0
rl1,cenario1_tempo_fixo/310s_10percent,6,320.0,20,20,0,11,0,1.0
rl1,cenario1_tempo_fixo/310s_10percent,7,320.0,11,11,0,8,18,1.0
rl1,cenario1_tempo_fixo/310s_10percent,8,320.0,21,20,1,11,3,0.9524
rl1,cenario1_tempo_fixo/310s_10percent,9,320.0,32,29,3,10,5,0.9062
rl1,cenario1_tempo_fixo/310s_10percent,10,320.0,12,11,1,10,6,0.9167
rl1,cenario1_tempo_fixo/310s_10percent,11,320.0,23,22,1,8,18,0.9565
rl1,cenario1_tempo_fixo/310s_10percent,12,320.0,24,23,1,11,1,0.9583
rl1,cenario1_tempo_fixo/310s_10percent,13,320.0,22,20,2,10,9,0.9091
rl1,cenario1_tempo_fixo/310s_10percent,14,320.0,19,19,0,6,30,1.0
rl1,cenario1_tempo_fixo/310s_10percent,15,320.0,8,8,0,10,5,1.0
rl1,cenario1_tempo_fixo/310s_10percent,16,320.0,18,18,0,9,11,1.0
rl1,cenario1_tempo_fixo/310s_10percent,17,320.0,16,16,0,9,11,1.0
rl1,cenario1_tempo_fixo/310s_10percent,18,320.0,10,9,1,9,11,0.9
rl1,cenario1_tempo_fixo/310s_10percent,19,320.0,5,5,0,10,5,1.0
rl1,cenario1_tempo_fixo/310s_10percent,20,320.0,28,24,4,11,0,0.8571
rl1,cenario1_tempo_fixo/310s_10percent,21,320.0,30,29,1,11,1,0.9667
rl1,cenario1_tempo_fixo/310s_10percent,22,320.0,24,23,1,9,11,0.9583
rl1,cenario1_tempo_fixo/310s_10percent,23,320.0,12,11,1,11,1,0.9167
rl1,cenario1_tempo_fixo/310s_10percent,24,320.0,30,26,4,8,18,0.8667
rl1,cenario1_tempo_fixo/310s_10percent,25,320.0,37,31,6,11,1,0.8378
rl1,cenario1_tempo_fixo/310s_10percent,26,320.0,9,8,1,8,18,0.8889
rl1,cenario1_tempo_fixo/310s_10percent,27,320.0,15,15,0,11,1,1.0
rl1,cenario1_tempo_fixo/310s_10percent,28,320.0,24,23,1,10,5,0.9583
rl1,cenario1_tempo_fixo/310s_10percent,29,320.0,25,25,0,10,5,1.0
rl1,cenario1_tempo_fixo/310s_10percent,30,320.0,27,27,0,10,5,1.0
rl1,cenario1_tempo_fixo/310s_10percent,31,320.0,18,16,2,10,5,0.8889
rl1,cenario1_tempo_fixo/310s_10percent,32,320.0,20,19,1,10,5,0.95
rl1,cenario1_tempo_fixo/310s_10percent,33,320.0,7,6,1,11,1,0.8571
rl1,cenario1_tempo_fixo/310s_10percent,34,320.0,31,29,2,11,0,0.9355
rl1,cenario1_tempo_fixo/310s_10percent,35,320.0,25,24,1,11,1,0.96
rl1,cenario1_tempo_fixo/310s_20percent,1,320.0,27,24,3,11,1,0.8889
rl1,cenario1_tempo_fixo/310s_20percent,2,320.0,17,17,0,11,0,1.0
rl1,cenario1_tempo_fixo/310s_20percent,3,320.0,15,14,1,10,5,0.9333
rl1,cenario1_tempo_fixo/310s_20percent,4,320.0,32,31,1,11,0,0.9688
rl1,cenario1_tempo_fixo/310s_20percent,5,320.0,22,21,1,11,0,0.9545
rl1,cenario1_tempo_fixo/310s_20percent,6,320.0,24,23,1,11,1,0.9583
rl1,cenario1_tempo_fixo/310s_20percent,7,320.0,27,24,3,11,1,0.8889
rl1,cenario1_tempo_fixo/310s_20percent,8,320.0,17,16,1,11,1,0.9412
rl1,cenario1_tempo_fixo/310s_20percent,9,320.0,51,48,3,9,11,0.9412
rl1,cenario1_tempo_fixo/310s_20percent,10,320.0,17,17,0,11,1,1.0
rl1,cenario1_tempo_fixo/310s_20percent,11,320.0,23,21,2,8,18,0.913
rl1,cenario1_tempo_fixo/310s_20percent,12,320.0,30,29,1,11,0,0.9667
rl1,cenario1_tempo_fixo/310s_20percent,13,320.0,35,33,2,11,1,0.9429
rl1,cenario1_tempo_fixo/310s_20percent,14,320.0,35,33,2,11,3,0.9429
rl1,cenario1_tempo_fixo/310s_20percent,15,320.0,17,16,1,8,18,0.9412
rl1,cenario1_tempo_fixo/310s_20percent,16,320.0,43,42,1,11,1,0.9767
rl1,cenario1_tempo_fixo/310s_20percent,17,320.0,22,20,2,8,18,0.9091
rl1,cenario1_tempo_fixo/310s_20percent,18,320.0,35,34,1,8,18,0.9714
rl1,cenario1_tempo_fixo/310s_20percent,19,320.0,32,30,2,11,1,0.9375
rl1,cenario1_tempo_fixo/310s_20percent,20,320.0,8,7,1,10,5,0.875
rl1,cenario1_tempo_fixo/310s_20percent,21,320.0,42,42,0,9,11,1.0
rl1,cenario1_tempo_fixo/310s_20percent,22,320.0,27,26,1,7,24,0.963
rl1,cenario1_tempo_fixo/310s_20percent,23,320.0,42,42,0,11,0,1.0
rl1,cenario1_tempo_fixo/310s_20percent,24,320.0,29,27,2,8,21,0.931
rl1,cenario1_tempo_fixo/310s_20percent,25,320.0,40,37,3,11,3,0.925
rl1,cenario1_tempo_fixo/310s_20percent,26,320.0,28,28,0,8,18,1.0
rl1,cenario1_tempo_fixo/310s_20percent,27,320.0,30,28,2,11,1,0.9333
rl1,cenario1_tempo_fixo/310s_20percent,28,320.0,12,12,0,9,11,1.0
