approach,scenario,run,num_leader_failures,orphan_total,rl_successful_realloc,rl_failed_realloc,realloc_rate,rl_new_clusters,rl_realloc_existing
rl1,cenario1_tempo_fixo/310s_10percent,1,1,17,13,4,0.7647,0,13
rl1,cenario1_tempo_fixo/310s_10percent,2,1,21,21,0,1.0,0,21
rl1,cenario1_tempo_fixo/310s_10percent,3,1,22,21,1,0.9545,0,21
rl1,cenario1_tempo_fixo/310s_10percent,4,1,36,35,1,0.9722,0,35
rl1,cenario1_tempo_fixo/310s_10percent,5,1,8,8,0,1.0,0,8
rl1,cenario1_tempo_fixo/310s_10percent,6,1,20,20,0,1.0,0,20
rl1,cenario1_tempo_fixo/310s_10percent,7,1,11,11,0,1.0,0,11
rl1,cenario1_tempo_fixo/310s_10percent,8,1,21,20,1,0.9524,0,20
rl1,cenario1_tempo_fixo/310s_10percent,9,1,32,29,3,0.9062,0,29
rl1,cenario1_tempo_fixo/310s_10percent,10,1,12,11,1,0.9167,0,11
rl1,cenario1_tempo_fixo/310s_10percent,11,1,23,22,1,0.9565,0,22
rl1,cenario1_tempo_fixo/310s_10percent,12,1,24,23,1,0.9583,0,23
rl1,cenario1_tempo_fixo/310s_10percent,13,1,22,20,2,0.9091,0,20
rl1,cenario1_tempo_fixo/310s_10percent,14,1,19,19,0,1.0,0,19
rl1,cenario1_tempo_fixo/310s_10percent,15,1,8,8,0,1.0,0,8
rl1,cenario1_tempo_fixo/310s_10percent,16,1,18,18,0,1.0,0,18
rl1,cenario1_tempo_fixo/310s_10percent,17,1,16,16,0,1.0,0,16
rl1,cenario1_tempo_fixo/310s_10percent,18,1,10,9,1,0.9,0,9
rl1,cenario1_tempo_fixo/310s_10percent,19,1,5,5,0,1.0,0,5
rl1,cenario1_tempo_fixo/310s_10percent,20,1,28,24,4,0.8571,0,24
rl1,cenario1_tempo_fixo/310s_10percent,21,1,30,29,1,0.9667,0,29
rl1,cenario1_tempo_fixo/310s_10percent,22,1,24,23,1,0.9583,0,23
rl1,cenario1_tempo_fixo/310s_10percent,23,1,12,11,1,0.9167,0,11
rl1,cenario1_tempo_fixo/310s_10percent,24,1,30,26,4,0.8667,0,26
rl1,cenario1_tempo_fixo/310s_10percent,25,1,37,31,6,0.8378,0,31
rl1,cenario1_tempo_fixo/310s_10percent,26,1,9,8,1,0.8889,0,8
rl1,cenario1_tempo_fixo/310s_10percent,27,1,15,15,0,1.0,0,15
rl1,cenario1_tempo_fixo/310s_10percent,28,1,24,23,1,0.9583,0,23
rl1,cenario1_tempo_fixo/310s_10percent,29,1,25,25,0,1.0,0,25
rl1,cenario1_tempo_fixo/310s_10percent,30,1,27,27,0,1.0,0,27
rl1,cenario1_tempo_fixo/310s_10percent,31,1,18,16,2,0.8889,0,16
rl1,cenario1_tempo_fixo/310s_10percent,32,1,20,19,1,0.95,0,19
rl1,cenario1_tempo_fixo/310s_10percent,33,1,7,6,1,0.8571,0,6
rl1,cenario1_tempo_fixo/310s_10percent,34,1,31,29,2,0.9355,0,29
rl1,cenario1_tempo_fixo/310s_10percent,35,1,25,24,1,0.96,0,24
rl1,cenario1_tempo_fixo/310s_20percent,1,2,27,24,3,0.8889,0,24
rl1,cenario1_tempo_fixo/310s_20percent,2,1,17,17,0,1.0,0,17
rl1,cenario1_tempo_fixo/310s_20percent,3,1,15,14,1,0.9333,0,14
rl1,cenario1_tempo_fixo/310s_20percent,4,2,32,31,1,0.9688,0,31
rl1,cenario1_tempo_fixo/310s_20percent,5,2,22,21,1,0.9545,0,21
rl1,cenario1_tempo_fixo/310s_20percent,6,1,24,23,1,0.9583,0,23
rl1,cenario1_tempo_fixo/310s_20percent,7,2,27,24,3,0.8889,0,24
rl1,cenario1_tempo_fixo/310s_20percent,8,1,17,16,1,0.9412,0,16
rl1,cenario1_tempo_fixo/310s_20percent,9,2,51,48,3,0.9412,0,48
rl1,cenario1_tempo_fixo/310s_20percent,10,1,17,17,0,1.0,0,17
rl1,cenario1_tempo_fixo/310s_20percent,11,2,23,21,2,0.913,0,21
